"artist_name","popularity","genre","speechiness","duration_ms","duration_s","popularity_factor","n_songs","avg_songs","artists_factor"
"Diplo",77,"dance",0.0512,169227,169.227,"Most Popular",14,"More songs than average","Artist with more songs than average"
"Dua Lipa",82,"dance",0.0601,203064,203.064,"Most Popular",24,"More songs than average","Artist with more songs than average"
"Ariana Grande",82,"dance",0.0878,172325,172.325,"Most Popular",20,"More songs than average","Artist with more songs than average"
"Dua Lipa",81,"dance",0.0753,203808,203.808,"Most Popular",24,"More songs than average","Artist with more songs than average"
"Ariana Grande",78,"dance",0.094,173711,173.711,"Most Popular",20,"More songs than average","Artist with more songs than average"
"Doja Cat",77,"dance",0.222,134240,134.24,"Most Popular",30,"More songs than average","Artist with more songs than average"
"Ava Max",79,"dance",0.0405,162399,162.399,"Most Popular",29,"More songs than average","Artist with more songs than average"
"Ava Max",79,"dance",0.0473,187436,187.436,"Most Popular",29,"More songs than average","Artist with more songs than average"
"Chris Brown",76,"dance",0.145,176960,176.96,"Most Popular",19,"More songs than average","Artist with more songs than average"
"Ariana Grande",80,"dance",0.0418,228482,228.482,"Most Popular",20,"More songs than average","Artist with more songs than average"
"Ariana Grande",75,"dance",0.0652,167990,167.99,"Most Popular",20,"More songs than average","Artist with more songs than average"
"Tiësto",80,"dance",0.232,164000,164,"Most Popular",24,"More songs than average","Artist with more songs than average"
"Wiz Khalifa",73,"dance",0.108,234334,234.334,"Most Popular",14,"More songs than average","Artist with more songs than average"
"Ariana Grande",74,"dance",0.0555,201882,201.882,"Most Popular",20,"More songs than average","Artist with more songs than average"
"Joel Corry",77,"dance",0.0662,166028,166.028,"Most Popular",12,"More songs than average","Artist with more songs than average"
"Big Sean",72,"dance",0.0867,199758,199.758,"Most Popular",12,"More songs than average","Artist with more songs than average"
"Marshmello",74,"dance",0.0457,172762,172.762,"Most Popular",22,"More songs than average","Artist with more songs than average"
"Wizkid",72,"dance",0.113,248040,248.04,"Most Popular",19,"More songs than average","Artist with more songs than average"
"Ava Max",76,"dance",0.07,174760,174.76,"Most Popular",29,"More songs than average","Artist with more songs than average"
